pilot_index,norm_name,doc_id,source_file,source_path,file_type,is_eval_ground_truth,sampling_reason,sample_score,base_sample_score,eval_question_count,selection_bucket,table_density_proxy,hard_distractor,hard_distractor_reason,issuer,project_name,business_type_candidates,eval_files,eval_raw_examples,metadata_source,metadata_budget,notice_id,notice_round,published_at,bid_start,bid_deadline,external_notice_id,final_notice_id,notice_id_status,notice_id_evidence,rank_index,doc_key,pilot_doc_id,selection_aliases
1,고려대학교_차세대 포털·학사 정보시스템 구축사업,doc_2ee3f5efecd4,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,pdf,True,eval_ground_truth,1,1,37,구축,0,False,,고려대학교,차세대 포털·학사 정보시스템 구축사업,"구축, 홈페이지/포털","eval_batch_01.csv, eval_batch_02.csv, eval_batch_03.csv, eval_batch_04.csv, eval_batch_05.csv, eval_batch_11.csv, eval_batch_12.csv, eval_batch_13.csv, eval_batch_14.csv, eval_batch_15.csv",고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,,,,,,,,,,missing,,1,고려대학교_차세대 포털·학사 정보시스템 구축사업,D2ee3f5efec,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf | 고려대학교_차세대 포털·학사 정보시스템 구축사업 | 차세대 포털·학사 정보시스템 구축사업 | 고려대학교차세대포털·학사정보시스템구축사업.pdf
2,(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시,doc_fe9a9ee9e4f3,(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp,hwp,True,eval_ground_truth,0,0,27,구축,0,False,,(사)부산국제영화제,2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시,구축,"eval_batch_01.csv, eval_batch_02.csv, eval_batch_03.csv, eval_batch_04.csv, eval_batch_05.csv, eval_batch_21.csv, eval_batch_22.csv, eval_batch_23.csv, eval_batch_24.csv, eval_batch_25.csv",(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp,,,,,,,,,,missing,,2,(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시,Dfe9a9ee9e4,(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp | (사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시 | 2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시 | 사부산국제영화제2024년BIFF&ACFM온라인서비스재개발및행사지원시.hwp
3,사단법인아시아물위원회사무국_우즈벡-키르기즈스탄 기후변화대응 스,doc_35ade0c5a532,사단법인아시아물위원회사무국_우즈벡-키르기즈스탄 기후변화대응 스.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/사단법인아시아물위원회사무국_우즈벡-키르기즈스탄 기후변화대응 스.hwp,hwp,True,eval_ground_truth,0,0,27,기타,0,False,,사단법인아시아물위원회사무국,우즈벡-키르기즈스탄 기후변화대응 스,,"eval_batch_01.csv, eval_batch_02.csv, eval_batch_03.csv, eval_batch_04.csv, eval_batch_05.csv, eval_batch_21.csv, eval_batch_22.csv, eval_batch_23.csv, eval_batch_24.csv, eval_batch_25.csv",사단법인아시아물위원회사무국_우즈벡-키르기즈스탄 기후변화대응 스.hwp,,,,,,,,,,missing,,3,사단법인아시아물위원회사무국_우즈벡-키르기즈스탄 기후변화대응 스,D35ade0c5a5,사단법인아시아물위원회사무국_우즈벡-키르기즈스탄 기후변화대응 스.hwp | 사단법인아시아물위원회사무국_우즈벡-키르기즈스탄 기후변화대응 스 | 우즈벡-키르기즈스탄 기후변화대응 스 | 사단법인아시아물위원회사무국우즈벡키르기즈스탄기후변화대응스.hwp
4,울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역,doc_2a2a9ee88f34,울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역.hwp,hwp,True,eval_ground_truth,0,0,25,고도화,0,False,,울산광역시,2024년 버스정보시스템 확대 구축 및 기능개선 용역,"고도화, 구축","eval_batch_11.csv, eval_batch_12.csv, eval_batch_13.csv, eval_batch_14.csv, eval_batch_15.csv, eval_batch_16.csv, eval_batch_17.csv, eval_batch_18.csv, eval_batch_19.csv, eval_batch_20.csv",울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역.hwp,,,,,,,,,,missing,,4,울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역,D2a2a9ee88f,울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역.hwp | 울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역 | 2024년 버스정보시스템 확대 구축 및 기능개선 용역 | 울산광역시2024년버스정보시스템확대구축및기능개선용역.hwp
5,케빈랩 주식회사_평택시 강소형 스마트시티 AI 기반의 영상감시 시스템,doc_7cd1e6d470d9,케빈랩 주식회사_평택시 강소형 스마트시티 AI 기반의 영상감시 시스템 .hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/케빈랩 주식회사_평택시 강소형 스마트시티 AI 기반의 영상감시 시스템 .hwp,hwp,True,eval_ground_truth,0,0,25,데이터/AI,0,False,,케빈랩 주식회사,평택시 강소형 스마트시티 AI 기반의 영상감시 시스템,데이터/AI,"eval_batch_16.csv, eval_batch_17.csv, eval_batch_18.csv, eval_batch_19.csv, eval_batch_20.csv",케빈랩 주식회사_평택시 강소형 스마트시티 AI 기반의 영상감시 시스템 .hwp,,,,,,,,,,missing,,5,케빈랩 주식회사_평택시 강소형 스마트시티 AI 기반의 영상감시 시스템,D7cd1e6d470,케빈랩 주식회사_평택시 강소형 스마트시티 AI 기반의 영상감시 시스템 .hwp | 케빈랩 주식회사_평택시 강소형 스마트시티 AI 기반의 영상감시 시스템 | 평택시 강소형 스마트시티 AI 기반의 영상감시 시스템 | 케빈랩주식회사평택시강소형스마트시티AI기반의영상감시시스템.hwp
6,한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축,doc_433d5acb61f1,한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp,hwp,True,eval_ground_truth,0,0,25,구축,0,False,,한국가스공사,[재공고]차세대 통합정보시스템(ERP) 구축,구축,"eval_batch_01.csv, eval_batch_02.csv, eval_batch_03.csv, eval_batch_04.csv, eval_batch_05.csv, eval_batch_06.csv, eval_batch_08.csv, eval_batch_09.csv, eval_batch_10.csv",한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp,,,,,,,,,,missing,,6,한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축,D433d5acb61,한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp | 한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축 | [재공고]차세대 통합정보시스템(ERP) 구축 | 차세대 통합정보시스템(ERP) 구축 | 한국가스공사재공고차세대통합정보시스템ERP구축.hwp
7,한국원자력연구원_한국원자력연구원 선량평가시스템 고도화,doc_555f8184d8ef,한국원자력연구원_한국원자력연구원 선량평가시스템 고도화.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/한국원자력연구원_한국원자력연구원 선량평가시스템 고도화.hwp,hwp,True,eval_ground_truth,0,0,25,고도화,0,False,,한국원자력연구원,한국원자력연구원 선량평가시스템 고도화,고도화,"eval_batch_01.csv, eval_batch_02.csv, eval_batch_03.csv, eval_batch_04.csv, eval_batch_05.csv, eval_batch_16.csv, eval_batch_17.csv, eval_batch_18.csv, eval_batch_19.csv, eval_batch_20.csv",한국원자력연구원_한국원자력연구원 선량평가시스템 고도화.hwp,,,,,,,,,,missing,,7,한국원자력연구원_한국원자력연구원 선량평가시스템 고도화,D555f8184d8,한국원자력연구원_한국원자력연구원 선량평가시스템 고도화.hwp | 한국원자력연구원_한국원자력연구원 선량평가시스템 고도화 | 한국원자력연구원 선량평가시스템 고도화 | 한국원자력연구원한국원자력연구원선량평가시스템고도화.hwp
8,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원,doc_39378ed21976,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,hwp,True,eval_ground_truth,0,0,23,기타,0,False,,KOICA 전자조달,[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원,,"eval_batch_01.csv, eval_batch_02.csv, eval_batch_03.csv, eval_batch_04.csv, eval_batch_05.csv, eval_batch_16.csv, eval_batch_17.csv, eval_batch_18.csv, eval_batch_19.csv, eval_batch_20.csv",KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,,,,,,,,,,missing,,8,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원,D39378ed219,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp | KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 | [긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 | [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 | KOICA전자조달긴급지문국제우즈베키스탄열린의정활동상하원.hwp
9,경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정,doc_89329736bae6,경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp,hwp,True,eval_ground_truth,0,0,23,운영,0,False,,경희대학교,[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정,운영,"eval_batch_06.csv, eval_batch_07.csv, eval_batch_08.csv, eval_batch_09.csv, eval_batch_10.csv, eval_batch_16.csv, eval_batch_17.csv, eval_batch_18.csv, eval_batch_19.csv, eval_batch_20.csv",경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp,,,,,,,,,,missing,,9,경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정,D89329736ba,경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp | 경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정 | [입찰공고] 산학협력단 정보시스템 운영 용역업체 선정 | 경희대학교입찰공고산학협력단정보시스템운영용역업체선정.hwp
10,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역,doc_affee7b5f9aa,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,hwp,True,eval_ground_truth,0,0,23,컨설팅/감리,0,False,,한국철도공사 (용역),예약발매시스템 개량 ISMP 용역,컨설팅/감리,"eval_batch_06.csv, eval_batch_07.csv, eval_batch_08.csv, eval_batch_09.csv, eval_batch_10.csv, eval_batch_11.csv, eval_batch_12.csv, eval_batch_13.csv, eval_batch_14.csv, eval_batch_15.csv",한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,,,,,,,,,,missing,,10,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역,Daffee7b5f9,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp | 한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역 | 예약발매시스템 개량 ISMP 용역 | 한국철도공사용역예약발매시스템개량ISMP용역.hwp
11,한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역,doc_60712291e6d7,한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역.hwp,hwp,True,eval_ground_truth,0,0,22,구축,0,False,,한국수자원공사,수도사업장 통합 사고분석솔루션 시범구축 용역,구축,"eval_batch_06.csv, eval_batch_07.csv, eval_batch_08.csv, eval_batch_09.csv, eval_batch_10.csv, eval_batch_12.csv, eval_batch_13.csv, eval_batch_14.csv, eval_batch_15.csv",한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역.hwp,,,,,,,,,,missing,,11,한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역,D60712291e6,한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역.hwp | 한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역 | 수도사업장 통합 사고분석솔루션 시범구축 용역 | 한국수자원공사수도사업장통합사고분석솔루션시범구축용역.hwp
12,한국수출입은행_(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업,doc_a54183828789,한국수출입은행_(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/한국수출입은행_(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업.hwp,hwp,True,eval_ground_truth,0,0,22,구축,0,False,,한국수출입은행,(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업,구축,"eval_batch_01.csv, eval_batch_02.csv, eval_batch_03.csv, eval_batch_04.csv, eval_batch_05.csv, eval_batch_06.csv, eval_batch_07.csv, eval_batch_08.csv, eval_batch_09.csv, eval_batch_10.csv",한국수출입은행_(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업.hwp,,,,,,,,,,missing,,12,한국수출입은행_(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업,Da541838287,한국수출입은행_(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업.hwp | 한국수출입은행_(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업 | (긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업 | 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업 | 한국수출입은행긴급모잠비크마푸토지능형교통시스템ITS구축사업.hwp
13,한국보건산업진흥원_의료기기산업 종합정보시스템(정보관리기관) 기능,doc_c9cfcccbc1f4,한국보건산업진흥원_의료기기산업 종합정보시스템(정보관리기관) 기능.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/한국보건산업진흥원_의료기기산업 종합정보시스템(정보관리기관) 기능.hwp,hwp,True,eval_ground_truth,0,0,21,기타,0,False,,한국보건산업진흥원,의료기기산업 종합정보시스템(정보관리기관) 기능,,"eval_batch_11.csv, eval_batch_12.csv, eval_batch_13.csv, eval_batch_14.csv, eval_batch_15.csv, eval_batch_21.csv, eval_batch_22.csv, eval_batch_23.csv, eval_batch_25.csv",한국보건산업진흥원_의료기기산업 종합정보시스템(정보관리기관) 기능.hwp,,,,,,,,,,missing,,13,한국보건산업진흥원_의료기기산업 종합정보시스템(정보관리기관) 기능,Dc9cfcccbc1,한국보건산업진흥원_의료기기산업 종합정보시스템(정보관리기관) 기능.hwp | 한국보건산업진흥원_의료기기산업 종합정보시스템(정보관리기관) 기능 | 의료기기산업 종합정보시스템(정보관리기관) 기능 | 한국보건산업진흥원의료기기산업종합정보시스템정보관리기관기능.hwp
14,광주과학기술원_실시간통합연구비관리시스템(RCMS) 연계 모듈 변경 사업,doc_1bd32fafebb5,광주과학기술원_실시간통합연구비관리시스템(RCMS)  연계 모듈 변경 사업.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/광주과학기술원_실시간통합연구비관리시스템(RCMS)  연계 모듈 변경 사업.hwp,hwp,True,eval_ground_truth,0,0,20,기타,0,False,,광주과학기술원,실시간통합연구비관리시스템(RCMS) 연계 모듈 변경 사업,,"eval_batch_16.csv, eval_batch_17.csv, eval_batch_18.csv, eval_batch_19.csv, eval_batch_20.csv",광주과학기술원_실시간통합연구비관리시스템(RCMS)  연계 모듈 변경 사업.hwp,,,,,,,,,,missing,,14,광주과학기술원_실시간통합연구비관리시스템(RCMS) 연계 모듈 변경 사업,D1bd32fafeb,광주과학기술원_실시간통합연구비관리시스템(RCMS) 연계 모듈 변경 사업.hwp | 광주과학기술원_실시간통합연구비관리시스템(RCMS) 연계 모듈 변경 사업 | 실시간통합연구비관리시스템(RCMS) 연계 모듈 변경 사업 | 광주과학기술원실시간통합연구비관리시스템RCMS연계모듈변경사업.hwp
15,대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교,doc_e313514061e0,대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교.hwp,hwp,True,eval_ground_truth,0,0,20,홈페이지/포털,0,False,,대검찰청,아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교,홈페이지/포털,"eval_batch_21.csv, eval_batch_22.csv, eval_batch_23.csv, eval_batch_24.csv, eval_batch_25.csv",대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교.hwp,,,,,,,,,,missing,,15,대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교,De313514061,대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교.hwp | 대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교 | 아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교 | 대검찰청아태사이버범죄역량강화허브APCHUB홈페이지및온라인교.hwp
16,부산관광공사_경영정보시스템 기능개선,doc_0d1c990ca128,부산관광공사_경영정보시스템 기능개선.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/부산관광공사_경영정보시스템 기능개선.hwp,hwp,True,eval_ground_truth,0,0,20,고도화,0,False,,부산관광공사,경영정보시스템 기능개선,고도화,"eval_batch_21.csv, eval_batch_22.csv, eval_batch_23.csv, eval_batch_24.csv, eval_batch_25.csv",부산관광공사_경영정보시스템 기능개선.hwp,,,,,,,,,,missing,,16,부산관광공사_경영정보시스템 기능개선,D0d1c990ca1,부산관광공사_경영정보시스템 기능개선.hwp | 부산관광공사_경영정보시스템 기능개선 | 경영정보시스템 기능개선 | 부산관광공사경영정보시스템기능개선.hwp
17,인천광역시_도시계획위원회 통합관리시스템 구축용역,doc_36c827452dcb,인천광역시_도시계획위원회 통합관리시스템 구축용역.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/인천광역시_도시계획위원회 통합관리시스템 구축용역.hwp,hwp,True,eval_ground_truth,0,0,20,구축,0,False,,인천광역시,도시계획위원회 통합관리시스템 구축용역,구축,"eval_batch_01.csv, eval_batch_02.csv, eval_batch_03.csv, eval_batch_04.csv, eval_batch_05.csv, eval_batch_06.csv, eval_batch_07.csv, eval_batch_08.csv, eval_batch_09.csv, eval_batch_10.csv",인천광역시_도시계획위원회 통합관리시스템 구축용역.hwp,,,,,,,,,,missing,,17,인천광역시_도시계획위원회 통합관리시스템 구축용역,D36c827452d,인천광역시_도시계획위원회 통합관리시스템 구축용역.hwp | 인천광역시_도시계획위원회 통합관리시스템 구축용역 | 도시계획위원회 통합관리시스템 구축용역 | 인천광역시도시계획위원회통합관리시스템구축용역.hwp
18,한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선,doc_64965a9eb991,한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선.hwp,hwp,True,eval_ground_truth,0,0,19,고도화,0,False,,한국연구재단,2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선,고도화,"eval_batch_06.csv, eval_batch_07.csv, eval_batch_08.csv, eval_batch_09.csv, eval_batch_10.csv, eval_batch_21.csv, eval_batch_22.csv, eval_batch_23.csv, eval_batch_25.csv",한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선.hwp,,,,,,,,,,missing,,18,한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선,D64965a9eb9,한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선.hwp | 한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선 | 2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선 | 한국연구재단2024년대학산학협력활동실태조사시스템UICC기능개선.hwp
19,서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차,doc_9edc7e2516e8,서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf,pdf,True,eval_ground_truth,1,1,18,기타,0,False,,서울시립대학교,[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차,,"eval_batch_16.csv, eval_batch_17.csv, eval_batch_18.csv, eval_batch_19.csv, eval_batch_20.csv",서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf,,,,,,,,,,missing,,19,서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차,D9edc7e2516,서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf | 서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차 | [사전공개] 학업성취도 다차원 종단분석 통합시스템 1차 | 서울시립대학교사전공개학업성취도다차원종단분석통합시스템1차.pdf
20,인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축,doc_b2894d497c39,인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 .hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 .hwp,hwp,True,eval_ground_truth,0,0,18,구축,0,False,,인천공항운영서비스(주),인천공항운영서비스㈜ 차세대 ERP시스템 구축,"구축, 운영","eval_batch_06.csv, eval_batch_07.csv, eval_batch_08.csv, eval_batch_09.csv, eval_batch_10.csv",인천공항운영서비스(주)_인천공항운서비스㈜ 차세대 ERP시스템 구축 .hwp | 인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 .hwp,,,,,,,,,,missing,,20,인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축,Db2894d497c,인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 .hwp | 인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 | 인천공항운영서비스㈜ 차세대 ERP시스템 구축 | 인천공항운영서비스주인천공항운영서비스㈜차세대ERP시스템구축.hwp
21,남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사,doc_72559ffc5196,남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사.hwp,/Users/apple/Desktop/codeit/project_2nd/chatbot/data/original_data_list/남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사.hwp,hwp,True,eval_ground_truth,0,0,17,기타,0,False,,남서울대학교,[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사,,"eval_batch_21.csv, eval_batch_22.csv, eval_batch_23.csv, eval_batch_24.csv, eval_batch_25.csv",남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사.hwp,,,,,,,,,,missing,,21,남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사,D72559ffc51,남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사.hwp | 남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사 | [혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사 | 남서울대학교혁신국고남서울대학교스마트정보시스템활성화학사.hwp
